"","Scenario_ID","Dataset_ID","K_Total","K_Treatment","m","beta1","beta1_intercept","beta2","beta2_intercept","rho01","rho02","rho1","rho2","varY1","varY2","varBeta1","varBeta2","r"
"1",1,1,16,8,60,0.1611,0.041,0.5471,0.0313,0.057,0.0787,-0.0053,0.1908,0.9849,1.084,0.0179,0.0255,1
"2",1,2,16,8,60,0.1582,0.0214,0.424,-0.1046,0.0697,0.1332,0.0129,0.1855,0.9978,1.0523,0.0212,0.0388,1
"3",1,3,16,8,60,0.15,0.0049,0.5981,-0.1733,0.0489,0.0898,0.0508,0.2887,1.0339,1.0465,0.0167,0.0275,1
"4",1,4,16,8,60,0.2103,0.0267,0.5647,-0.014,0.0736,0.0451,0.0094,0.2216,1.0504,1.0502,0.0234,0.016,1
"5",1,5,16,8,60,0.0123,-0.0297,0.5113,-0.0345,0.0422,0.0989,0.0136,0.1545,0.9948,1.1386,0.0145,0.0324,1
"6",2,1,16,8,60,0.2531,-0.0345,-0.022,0.1297,0.0156,0.1322,-0.0078,0.1736,0.9542,1.0352,0.0076,0.038,1
"7",2,2,16,8,60,0.2392,-0.1562,0.2073,-0.1378,0.0568,0.0577,0.0261,0.2322,1.0675,0.9661,0.0193,0.0177,1
"8",2,3,16,8,60,0.3241,-0.1004,-0.0139,0.1023,0.0948,0.0456,0.0104,0.1914,0.9758,0.9666,0.0268,0.0149,1
"9",2,4,16,8,60,0.0269,0.0148,-0.0392,-0.0169,0.0462,0.0831,-0.0118,0.2112,0.968,1.0234,0.015,0.0252,1
"10",2,5,16,8,60,-0.0268,0.2614,0.2055,0.0729,0.0437,0.0783,-0.0071,0.2029,1.0284,0.9768,0.0153,0.0229,1
"11",3,1,16,8,60,0.0935,0.0425,0.5701,-0.0224,0.0798,0.0917,0.0073,0.1971,0.9789,1.1202,0.0233,0.0299,1
"12",3,2,16,8,60,0.0162,0.1403,0.6347,-0.0373,0.0566,0.0217,0.0201,0.2059,1.0073,1.0143,0.0182,0.0096,1
"13",3,3,16,8,60,0.0611,0.008,0.3152,0.0433,0.1559,0.0604,0.042,0.2886,1.0956,1.01,0.0466,0.0192,1
"14",3,4,16,8,60,0.4172,-0.0393,0.2913,-0.0279,0.0791,0.079,0.0369,0.2282,1.0818,0.8989,0.0255,0.0212,1
"15",3,5,16,8,60,0.4392,-0.0376,0.4643,0.0181,0.0484,0.0405,0.0166,0.2211,0.8987,1.037,0.0144,0.0147,1
"16",4,1,16,8,60,-0.0469,0.077,0.2745,-0.0385,0.035,0.0978,0.002,0.2053,1.0277,1.009,0.0131,0.0285,1
"17",4,2,16,8,60,0.2511,-0.069,-0.0106,0.0716,0.089,0.0675,0.0407,0.187,0.9837,0.9459,0.0256,0.0196,1
"18",4,3,16,8,60,0.5168,-0.0403,0.2539,0.0973,0.0831,0.0696,-0.024,0.177,1.0455,0.948,0.0257,0.0202,1
"19",4,4,16,8,60,0.1978,-0.1016,-0.2076,0.1087,0.1316,0.0352,0.0045,0.1695,1.0722,0.8777,0.0392,0.0113,1
"20",4,5,16,8,60,0.0845,-0.0583,0.2479,-0.1596,0.0372,0.0862,-0.0149,0.1958,0.8972,1.0092,0.0119,0.0256,1
"21",5,1,16,8,60,0.2873,-0.1983,0.312,0.0582,0.1234,0.0189,0.0288,0.194,1.0172,0.9649,0.0351,0.0085,1
"22",5,2,16,8,60,0.2438,0.0356,0.3333,-0.0175,0.0614,0.0185,0.018,0.1959,0.9855,0.9495,0.019,0.0083,1
"23",5,3,16,8,60,0.3275,-0.0723,0.6238,-0.0174,0.0808,0.0898,0.0694,0.2644,0.9652,1.144,0.0232,0.03,1
"24",5,4,16,8,60,0.2123,-0.0034,0.4225,0.0158,0.1102,0.0252,-9e-04,0.185,1.0394,0.9784,0.0325,0.0101,1
"25",5,5,16,8,60,-0.0065,0.1523,0.6138,-0.0932,0.1034,0.0129,4e-04,0.1904,0.9568,1.0729,0.0283,0.0079,1
"26",6,1,16,8,60,0.1359,0.1467,0.262,0.0677,0.0811,0.0227,-0.0039,0.1952,0.9893,0.9431,0.0238,0.0092,1
"27",6,2,16,8,60,0.2741,0.0381,0.0778,0.1327,0.0711,0.0447,0.0137,0.2298,0.9888,1.0085,0.0214,0.0153,1
"28",6,3,16,8,60,0.0842,0.04,0.093,0.0831,0.0379,0.0599,0.0118,0.2011,0.9197,0.9999,0.0124,0.0189,1
"29",6,4,16,8,60,0.3152,0.0488,0.3781,0.0193,0.0585,0.0501,0.0025,0.2297,0.9821,1.0064,0.0182,0.0166,1
"30",6,5,16,8,60,0.6885,-0.3848,0.5934,-0.235,0.0896,0.0671,0.0234,0.2086,1.0666,1.1088,0.0279,0.0229,1
"31",7,1,16,8,60,0.2353,0.0571,0.6582,-0.1144,0.0165,0.0358,-0.0034,0.4932,0.966,0.9581,0.0079,0.0124,1
"32",7,2,16,8,60,0.3171,-0.061,0.3776,0.1869,0.0131,0.0897,-0.0138,0.4949,0.968,1.0281,0.0071,0.027,1
"33",7,3,16,8,60,0.5003,-0.185,0.1838,-0.0314,0.0375,0.1325,0.0086,0.4945,1.0062,1.0371,0.0135,0.0381,1
"34",7,4,16,8,60,0.2023,-0.0749,0.5578,0.0419,0.0245,0.0837,0.0053,0.5295,0.9908,1.0069,0.0101,0.0249,1
"35",7,5,16,8,60,0.4359,-0.1189,0.5499,-0.1004,0.0273,0.0915,0.0144,0.5603,1.1604,1.0605,0.0126,0.0283,1
"36",8,1,16,8,60,0.2386,0.0818,0.1465,0.1238,0.0387,0.0925,-0.031,0.4672,1.0785,1.0604,0.0148,0.0285,1
"37",8,2,16,8,60,0.2389,-0.0828,0.0839,0.0406,0.0147,0.0555,-0.0283,0.5218,0.9409,0.9938,0.0073,0.0177,1
"38",8,3,16,8,60,0.199,0.0756,0.3933,0.074,0.0439,0.0223,0.0039,0.5094,1.0528,0.9316,0.0157,0.009,1
"39",8,4,16,8,60,0.274,0.0438,0.5215,-0.214,0.0236,0.0565,-0.0089,0.5096,1.0293,1.0085,0.0103,0.0182,1
"40",8,5,16,8,60,0.246,0.0632,0.2895,-0.0161,0.0326,0.0893,0.0016,0.5448,1.0251,1.0445,0.0125,0.0273,1
"41",9,1,16,8,60,0.1763,0.0184,0.5624,-0.1039,0.0529,0.1212,0.0067,0.509,0.9543,1.1747,0.0164,0.0399,1
"42",9,2,16,8,60,0.2196,-0.069,0.284,-0.0212,0.0197,0.0692,-0.0025,0.5045,0.9496,0.9314,0.0085,0.0197,1
"43",9,3,16,8,60,0.1107,0.1325,0.4122,0.0329,0.1376,0.0749,-0.0424,0.467,1.0606,1.0625,0.0403,0.024,1
"44",9,4,16,8,60,0.1948,-0.0429,0.3703,-0.0713,0.0668,0.0821,7e-04,0.5247,0.9978,0.9961,0.0205,0.0242,1
"45",9,5,16,8,60,0.1272,-0.1691,0.4284,0.0246,0.1362,0.1168,-0.0388,0.4332,1.0388,1.0765,0.0391,0.0354,1
"46",10,1,16,8,60,0.2954,-0.2194,0.1799,0.0146,0.088,0.1001,-0.0185,0.4837,1.0065,1.0183,0.026,0.0293,1
"47",10,2,16,8,60,0.2455,-0.0893,0.0902,0.008,0.1002,0.0359,0.0061,0.5132,0.9743,0.916,0.0281,0.0119,1
"48",10,3,16,8,60,0.15,0.0419,0.129,0.0743,0.132,0.097,0.0031,0.5065,1.0239,1.0204,0.0375,0.0286,1
"49",10,4,16,8,60,0.2353,-0.0622,0.009,0.0984,0.0488,0.1448,0.0044,0.5027,0.9934,0.9371,0.0161,0.0373,1
"50",10,5,16,8,60,0.2123,0.086,0.3003,-0.132,0.1309,0.0956,0.0179,0.5208,1.0271,1.0175,0.0373,0.0281,1
"51",11,1,16,8,60,0.3306,-0.1076,0.4614,-0.0151,0.0611,0.0579,-0.0135,0.4929,0.9756,1.158,0.0187,0.0213,1
"52",11,2,16,8,60,0.2253,0.0303,0.3774,-0.0629,0.0973,0.0529,-0.0192,0.4852,1.0806,1.103,0.0304,0.0189,1
"53",11,3,16,8,60,0.1796,0.0522,0.3513,0.091,0.0721,0.0436,0.0199,0.5183,1.0131,0.9776,0.0222,0.0146,1
"54",11,4,16,8,60,0.1792,-0.0638,0.2748,0.0808,0.0402,0.0252,0.0043,0.5488,0.919,1.0205,0.0129,0.0106,1
"55",11,5,16,8,60,0.53,-0.1667,0.5037,-0.0901,0.0937,0.0547,-0.0023,0.4602,1.0193,1.0938,0.0277,0.0193,1
"56",12,1,16,8,60,0.201,0.1377,0.2025,0.099,0.0498,0.0235,0.0055,0.5161,0.995,1.08,0.0163,0.0107,1
"57",12,2,16,8,60,0.3024,-0.164,0.1317,0.0587,0.0648,0.0485,-0.0422,0.4417,0.9796,0.9383,0.0197,0.0151,1
"58",12,3,16,8,60,0.0701,0.0393,0.5857,-0.2079,0.0261,0.0653,0.0165,0.542,0.8943,1.1047,0.0095,0.0223,1
"59",12,4,16,8,60,0.3562,-0.1564,0.3105,-0.1272,0.0861,0.0542,-0.0178,0.4771,1.0523,0.9679,0.0267,0.0169,1
"60",12,5,16,8,60,0.0991,0.15,0.3083,-0.05,0.0476,0.0372,-0.015,0.5448,0.9981,1.0081,0.0158,0.0134,1
